file,experiment,db,model_variant,variant,run,n_uris_total,n_canonical,n_invented,n_standard,n_other,canonical_ratio,overlap_with_gold,jaccard,precision_vs_gold,recall_vs_gold
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,postprocessed,3,42,15,12,15,0,0.5556,5,0.051,0.3333,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,raw,1,57,37,0,14,6,1.0,8,0.0678,0.2105,0.0909
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,raw,2,53,7,0,13,33,1.0,5,0.0505,0.3125,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,raw,3,43,23,0,13,7,1.0,8,0.0748,0.2963,0.0909
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,postprocessed,1,57,37,0,14,6,1.0,8,0.0678,0.2105,0.0909
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,postprocessed,2,53,7,0,13,33,1.0,5,0.0505,0.3125,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C2,postprocessed,3,43,23,0,13,7,1.0,8,0.0748,0.2963,0.0909
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,raw,1,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,raw,2,38,15,0,12,11,1.0,5,0.0459,0.1923,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,raw,3,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,postprocessed,1,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,postprocessed,2,38,15,0,12,11,1.0,5,0.0459,0.1923,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C3,postprocessed,3,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/FANTOM5/gpt-4o_N100_ragapi/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,raw,1,44,23,3,17,1,0.8846,10,0.098,0.4167,0.1136
E3/FANTOM5/gpt-4o_N100_ragapi/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,raw,2,46,16,11,18,1,0.5926,9,0.0938,0.5294,0.1023
E3/FANTOM5/gpt-4o_N100_ragapi/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,raw,3,52,35,3,13,1,0.9211,10,0.0877,0.2778,0.1136
E3/FANTOM5/gpt-4o_N100_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,postprocessed,1,44,23,3,17,1,0.8846,10,0.098,0.4167,0.1136
E3/FANTOM5/gpt-4o_N100_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,postprocessed,2,46,16,11,18,1,0.5926,9,0.0938,0.5294,0.1023
E3/FANTOM5/gpt-4o_N100_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N100_ragapi,postprocessed,3,52,35,3,13,1,0.9211,10,0.0877,0.2778,0.1136
E3/FANTOM5/gpt-4o_N200_ragapi/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,raw,1,37,18,3,15,1,0.8571,8,0.0808,0.4211,0.0909
E3/FANTOM5/gpt-4o_N200_ragapi/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,raw,2,37,18,3,15,1,0.8571,8,0.0808,0.4211,0.0909
E3/FANTOM5/gpt-4o_N200_ragapi/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,raw,3,40,20,4,15,1,0.8333,8,0.0792,0.381,0.0909
E3/FANTOM5/gpt-4o_N200_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,postprocessed,1,37,18,3,15,1,0.8571,8,0.0808,0.4211,0.0909
E3/FANTOM5/gpt-4o_N200_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,postprocessed,2,37,18,3,15,1,0.8571,8,0.0808,0.4211,0.0909
E3/FANTOM5/gpt-4o_N200_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N200_ragapi,postprocessed,3,40,20,4,15,1,0.8333,8,0.0792,0.381,0.0909
E3/FANTOM5/gpt-4o_N25_ragapi/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,raw,1,40,13,9,17,1,0.5909,7,0.0737,0.5,0.0795
E3/FANTOM5/gpt-4o_N25_ragapi/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,raw,2,46,26,4,15,1,0.8667,8,0.0748,0.2963,0.0909
E3/FANTOM5/gpt-4o_N25_ragapi/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,raw,3,33,14,1,17,1,0.9333,9,0.0957,0.6,0.1023
E3/FANTOM5/gpt-4o_N25_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,postprocessed,1,40,13,9,17,1,0.5909,7,0.0737,0.5,0.0795
E3/FANTOM5/gpt-4o_N25_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,postprocessed,2,46,26,4,15,1,0.8667,8,0.0748,0.2963,0.0909
E3/FANTOM5/gpt-4o_N25_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N25_ragapi,postprocessed,3,33,14,1,17,1,0.9333,9,0.0957,0.6,0.1023
E3/FANTOM5/gpt-4o_N50_ragapi/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,raw,1,41,21,3,16,1,0.875,9,0.0891,0.4091,0.1023
E3/FANTOM5/gpt-4o_N50_ragapi/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,raw,2,47,27,4,15,1,0.871,9,0.0841,0.3214,0.1023
