file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds,structural_error
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/dbSUPER/gpt-4o/ontology_run3.ttl,8972,1,,0,8,5,30,0,4.375,4.375,2,1.25,0.75,0.0,6,0.0,0.25,0.625,0.14285714285714285,True,0,8,0.31,,5.0,3.5,2.67,3.0,5,3.83,E4,dbSUPER,gpt-4o,raw,3,0.32,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/HACER/gpt-4o/ontology_run1.ttl,8932,1,,0,9,5,30,0,3.888888888888889,3.888888888888889,2,1.3333333333333333,0.6666666666666666,0.0,6,0.0,0.3333333333333333,0.5555555555555556,0.14285714285714285,True,0,9,0.26,,5.0,3.5,2.67,3.0,5,3.83,E4,HACER,gpt-4o,raw,1,0.27,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/HACER/gpt-4o/ontology_run2.ttl,9328,1,,0,9,5,30,0,3.888888888888889,3.888888888888889,2,1.3333333333333333,0.6666666666666666,0.0,6,0.0,0.3333333333333333,0.5555555555555556,0.14285714285714285,True,0,9,0.26,,5.0,3.5,2.67,3.0,5,3.83,E4,HACER,gpt-4o,raw,2,0.28,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/HACER/gpt-4o/ontology_run3.ttl,8871,1,,0,9,5,30,0,3.888888888888889,3.888888888888889,2,1.3333333333333333,0.6666666666666666,0.0,6,0.0,0.3333333333333333,0.5555555555555556,0.14285714285714285,True,0,9,0.27,,5.0,3.5,2.67,3.0,5,3.83,E4,HACER,gpt-4o,raw,3,0.28,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/DiseaseEnhancer/gpt-4o/ontology_run1.ttl,8645,1,,0,8,5,30,0,4.375,4.375,2,1.25,0.75,0.0,6,0.0,0.25,0.625,0.14285714285714285,True,0,8,0.28,,5.0,3.5,2.67,3.0,5,3.83,E4,DiseaseEnhancer,gpt-4o,raw,1,0.29,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/DiseaseEnhancer/gpt-4o/ontology_run2.ttl,9270,1,,0,8,5,30,0,4.375,4.375,2,1.25,0.75,0.0,6,0.0,0.25,0.625,0.14285714285714285,True,0,8,0.27,,5.0,3.5,2.67,3.0,5,3.83,E4,DiseaseEnhancer,gpt-4o,raw,2,0.28,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/DiseaseEnhancer/gpt-4o/ontology_run3.ttl,7990,1,,0,11,7,20,0,2.4545454545454546,2.4545454545454546,2,1.2727272727272727,0.7272727272727273,0.0,8,0.0,0.2727272727272727,0.6363636363636364,0.25925925925925924,True,0,11,0.28,,5.0,3.5,2.67,3.5,5,3.93,E4,DiseaseEnhancer,gpt-4o,raw,3,0.29,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/postprocessed/ontology_run1.ttl,14544,0,rdflib_parse_failed: el TTL no es válido,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E1,FANTOM5,llama3.1_8b,postprocessed,1,0.0,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/postprocessed/ontology_run2.ttl,4967,1,,0,3,9,3,0,4.0,4.0,1,1.0,0.6666666666666666,0.0,3,0.0,0.0,3.0,0.75,True,0,3,0.27,,5.0,4.0,2.33,5.0,5,4.27,E1,FANTOM5,llama3.1_8b,postprocessed,2,0.28,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/postprocessed/ontology_run3.ttl,4328,1,,0,6,5,4,0,1.5,1.5,2,1.1666666666666667,0.6666666666666666,0.0,5,0.0,0.16666666666666666,0.8333333333333334,0.5555555555555556,True,0,6,0.26,,5.0,3.5,2.67,4.5,5,4.13,E1,FANTOM5,llama3.1_8b,postprocessed,3,0.26,
